timestamp,lowPrice,bidPrice,lastPrice,askPrice,highPrice,weightedAvgPrice,priceChangePercent,bidQty,lastQty,askQty,volume
2018/11/16_22:39:00,0.0312,0.031356,0.031356,0.031363,0.032197,0.0316453,-1.963,5.104,0.033,7.624,171387.532
2018/11/16_22:39:30,0.0312,0.031356,0.031357,0.031362,0.032197,0.03164516,-1.963,2.757,0.909,1.138,171347.499
2018/11/16_22:40:00,0.0312,0.031358,0.031359,0.031361,0.032197,0.03164508,-1.966,2.759,1.724,0.085,171323.504
2018/11/16_22:40:30,0.0312,0.03136,0.031359,0.031363,0.032197,0.03164494,-1.951,0.27,0.841,3.796,171292.263
2018/11/16_22:41:00,0.0312,0.031361,0.031361,0.031373,0.032197,0.03164473,-1.939,1.551,0.616,1.54,171207.51
2018/11/16_22:41:30,0.0312,0.031356,0.031366,0.031365,0.032197,0.03164461,-1.929,0.699,1.434,6.833,171189.441
2018/11/16_22:42:00,0.0312,0.031359,0.031376,0.031375,0.032197,0.03164449,-1.892,2.167,2.199,2.376,171174.852
2018/11/16_22:42:30,0.0312,0.03136,0.031371,0.031371,0.032197,0.03164436,-1.929,2.167,0.366,0.84,171133.499
2018/11/16_22:43:00,0.0312,0.031353,0.03137,0.03137,0.032197,0.03164402,-1.969,12.0,0.335,7.665,171054.964
2018/11/16_22:43:30,0.0312,0.03133,0.031355,0.031355,0.032197,0.03164384,-2.0,2.168,0.064,0.163,170996.519
2018/11/16_22:44:00,0.0312,0.031329,0.031329,0.03135,0.032197,0.03164355,-2.072,2.105,0.064,8.29,171052.469
2018/11/16_22:44:30,0.0312,0.031341,0.031341,0.03135,0.032197,0.03164325,-2.075,0.948,1.221,1.025,170969.861
2018/11/16_22:45:00,0.0312,0.031329,0.031338,0.031338,0.032197,0.03164309,-2.038,2.169,0.3,5.159,170997.635
2018/11/16_22:45:30,0.0312,0.031331,0.03134,0.03134,0.032197,0.03164296,-2.059,2.169,1.0,1.0,170990.234
2018/11/16_22:46:00,0.0312,0.03134,0.03134,0.031344,0.032197,0.03164275,-2.023,1.916,1.916,0.456,170998.957
2018/11/16_22:46:30,0.0312,0.031346,0.031346,0.03136,0.032197,0.03164264,-2.019,1.83,0.104,2.943,170966.845
2018/11/16_22:47:00,0.0312,0.031336,0.031346,0.031346,0.032197,0.03164246,-1.992,0.484,0.716,0.681,170926.719
2018/11/16_22:47:30,0.0312,0.031323,0.031323,0.031336,0.032197,0.03164238,-2.106,9.839,0.161,8.144,170928.804
2018/11/16_22:48:00,0.0312,0.031315,0.031326,0.031326,0.032197,0.03164216,-2.07,12.234,0.064,2.021,170914.603
2018/11/16_22:48:30,0.0312,0.031323,0.031329,0.03133,0.032197,0.03164198,-2.109,1.098,1.805,47.37,170877.799
2018/11/16_22:49:00,0.0312,0.03132,0.031329,0.031329,0.032197,0.03164177,-2.054,2.234,0.056,8.145,170897.745
2018/11/16_22:49:30,0.0312,0.031317,0.03133,0.031359,0.032197,0.0316416,-2.057,2.234,2.459,4.0,170926.979
2018/11/16_22:50:00,0.0312,0.031272,0.031273,0.031273,0.032197,0.03164107,-2.244,0.023,0.118,63.308,171047.79
2018/11/16_22:50:30,0.0312,0.031274,0.031274,0.031279,0.032197,0.03164072,-2.229,8.62,3.825,6.584,171051.294
2018/11/16_22:51:00,0.0312,0.031278,0.031278,0.031286,0.032197,0.03164046,-2.186,1.236,0.082,0.436,171037.198
2018/11/16_22:51:30,0.0312,0.031282,0.031281,0.031287,0.032197,0.03164029,-2.134,0.055,1.249,0.629,171018.645
2018/11/16_22:52:00,0.0312,0.031294,0.031297,0.031299,0.032197,0.03163949,-2.127,0.296,0.664,0.9,170666.242
2018/11/16_22:52:30,0.0312,0.031278,0.031284,0.031285,0.032197,0.03163934,-2.186,1.917,0.111,4.869,170678.006
2018/11/16_22:53:00,0.0312,0.031271,0.031274,0.03128,0.032197,0.03163919,-2.226,0.123,2.282,3.767,170656.67
2018/11/16_22:53:30,0.0312,0.031274,0.031275,0.031282,0.032197,0.03163894,-2.195,7.535,0.534,2.399,170659.168
2018/11/16_22:54:00,0.0312,0.031276,0.031276,0.031284,0.032197,0.03163881,-2.174,0.581,0.581,0.46,170665.741
2018/11/16_22:54:30,0.0312,0.03128,0.031284,0.031285,0.032197,0.03163858,-2.173,78.36,0.463,2.252,170697.162
2018/11/16_22:55:00,0.0312,0.031282,0.031282,0.031284,0.032197,0.03163838,-2.186,0.1,0.769,0.554,170681.947
2018/11/16_22:55:30,0.0312,0.03127,0.031276,0.031277,0.032197,0.03163807,-2.189,53.13,0.939,10.0,170572.494
2018/11/16_22:56:00,0.0312,0.031279,0.031282,0.031282,0.032197,0.03163775,-2.17,0.502,0.624,0.502,170455.759
2018/11/16_22:56:30,0.0312,0.031268,0.031268,0.031277,0.032197,0.03163756,-2.257,0.159,0.152,0.418,170395.222
2018/11/16_22:57:00,0.0312,0.031273,0.031274,0.031281,0.032197,0.03163721,-2.168,21.106,0.467,3.692,170243.398
2018/11/16_22:57:30,0.0312,0.031278,0.031291,0.03129,0.032197,0.03163673,-2.118,1.917,1.036,1.917,170037.318
2018/11/16_22:58:00,0.0312,0.031265,0.031265,0.031271,0.032197,0.03163638,-2.184,0.09,0.218,0.342,169915.381
2018/11/16_22:58:30,0.0312,0.031272,0.031272,0.03128,0.032197,0.03163601,-2.113,1.702,1.702,10.659,169776.583
2018/11/16_22:59:00,0.0312,0.031277,0.031286,0.031286,0.032197,0.03163548,-2.14,1.917,1.393,3.284,169548.397
2018/11/16_22:59:30,0.0312,0.031257,0.031274,0.031274,0.032197,0.03163533,-2.162,11.918,1.562,4.767,169563.301
2018/11/16_23:00:00,0.0312,0.031272,0.03128,0.03128,0.032197,0.03163518,-2.192,1.777,0.085,1.564,169532.913
2018/11/16_23:00:30,0.0312,0.031275,0.031281,0.031284,0.032197,0.03163509,-2.18,1.917,2.654,1.8,169523.343
2018/11/16_23:01:00,0.0312,0.031237,0.031237,0.031266,0.032197,0.03163489,-2.332,1.818,0.101,3.855,169542.029
2018/11/16_23:01:30,0.0312,0.031278,0.031282,0.031283,0.032197,0.03163478,-2.228,5.292,0.933,10.0,169540.839
2018/11/16_23:02:00,0.0312,0.031259,0.03127,0.03127,0.032197,0.0316346,-2.245,1.918,5.631,4.369,169544.754
