BTC-ETH
timestamp,bid5,bid4,bid3,bid2,bid1,ask1,ask2,ask3,ask4,ask5,bidQty5,bidQty4,bidQty3,bidQty2,bidQty1,askQty1,askQty2,askQty3,askQty4,askQty5
2018/11/16_22:58:00,0.031244,0.031245,0.031246,0.031262,0.031265,0.031271,0.031274,0.03128,0.031281,0.031291,0.1,3.743,9.0,9.311,0.028,0.342,1.362,17.143,22.0,9.039
2018/11/16_22:58:30,0.031244,0.031245,0.031262,0.03127,0.031271,0.03128,0.031291,0.031292,0.031299,0.0313,0.1,3.743,9.311,56.826,20.918,10.659,9.039,0.588,8.194,50.0
2018/11/16_22:59:00,0.031262,0.03127,0.031271,0.031274,0.031277,0.031286,0.031287,0.031288,0.031291,0.031292,9.311,12.8,10.0,7.541,1.917,3.284,1.483,10.0,9.039,0.588
2018/11/16_22:59:30,0.031247,0.031252,0.031254,0.031256,0.031257,0.031274,0.031275,0.03128,0.031283,0.031288,10.0,0.136,1.02,44.0,11.918,4.767,0.536,10.404,9.0,10.0
2018/11/16_23:00:00,0.031261,0.031265,0.03127,0.031271,0.031272,0.03128,0.031288,0.031291,0.031292,0.031299,9.381,10.801,43.986,1.918,1.777,1.564,10.0,9.039,0.588,0.9
2018/11/16_23:00:30,0.031252,0.031261,0.031271,0.031274,0.031275,0.031284,0.031286,0.031288,0.031291,0.031292,0.136,9.381,3.315,0.853,1.917,1.8,0.639,10.0,9.039,0.588
2018/11/16_23:01:00,0.031234,0.031235,0.031236,0.031238,0.031253,0.031266,0.031267,0.031271,0.031281,0.031283,2.02,74.475,4.0,80.0,1.918,0.101,1.92,33.0,37.0,13.0
2018/11/16_23:01:30,0.031234,0.031238,0.03127,0.031272,0.031278,0.031283,0.031291,0.031292,0.031296,0.031299,2.02,81.0,33.35,1.917,5.292,10.0,9.039,0.588,1.727,0.9
2018/11/16_23:02:00,0.031256,0.031258,0.031259,0.03126,0.03127,0.031278,0.031282,0.031283,0.031289,0.031291,0.448,24.4,1.918,17.0,0.101,1.796,27.0,4.237,1.727,9.039
2018/11/16_23:02:30,0.031258,0.03126,0.031261,0.03127,0.031274,0.031284,0.031285,0.031291,0.031292,0.031299,12.0,17.055,12.4,0.093,1.654,0.324,10.0,5.568,0.588,0.9
2018/11/16_23:03:00,0.03125,0.03126,0.031261,0.03127,0.031275,0.031284,0.031285,0.031291,0.031292,0.031299,10.808,17.055,12.4,0.093,1.917,0.547,3.837,5.568,0.588,0.9
2018/11/16_23:03:30,0.03126,0.03127,0.031271,0.03128,0.031283,0.031292,0.031299,0.0313,0.031314,0.031316,17.0,0.093,11.706,0.053,1.485,4.114,0.9,51.081,1.726,2.232
2018/11/16_23:04:00,0.031269,0.031271,0.031275,0.031279,0.03128,0.031288,0.031291,0.0313,0.031304,0.031316,0.035,17.995,0.257,1.877,2.49,6.231,10.0,14.867,1.726,2.232
2018/11/16_23:04:30,0.03125,0.031269,0.031271,0.031275,0.031281,0.03129,0.031291,0.0313,0.031312,0.031316,10.808,0.035,17.995,0.257,2.077,0.92,10.0,14.867,1.726,2.232
2018/11/16_23:05:00,0.031283,0.031285,0.031287,0.031289,0.03129,0.0313,0.031307,0.031316,0.03133,0.031338,4.0,7.062,10.0,28.0,2.076,8.607,1.726,2.232,15.797,25.047
2018/11/16_23:05:30,0.031269,0.03127,0.031271,0.031287,0.03129,0.0313,0.031316,0.031322,0.03133,0.031338,0.035,10.805,7.976,8.16,1.975,10.321,2.232,1.725,15.797,25.047
2018/11/16_23:06:00,0.031269,0.03127,0.031271,0.031294,0.031295,0.031306,0.031307,0.031309,0.031311,0.031315,0.035,10.805,7.976,9.376,2.076,0.166,1.231,10.0,1.0,6.686
2018/11/16_23:06:30,0.031269,0.03127,0.031271,0.031294,0.031301,0.031323,0.031324,0.031326,0.031328,0.031329,0.035,10.805,7.976,9.376,0.529,0.515,1.338,10.0,68.0,10.0
